,subjectGroup,browser,version,screenWidth,screenHeight,OS,OS_lang,GMT_timestamp,local_timestamp,trial_file_version,link,calibration,id,duration_s,,,,,,,,,,,
,1,Safari,26.3,1024,1366,MacOS,en-GB,2026-04-12_06:52:05,2026-04-12_07:52:05,2026-04-11_14:55:47,https://www.testable.org/experiment/20526/508491/start,1,1567,541.216,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
id,rowNo,type,condition1,stim1,textColor,stimFormat,subjectGroup,keyboard,key,ITI,presTime,stimOptions,random,trialText,ITI_ms,ITI_f,ITI_fDuration,presTime_ms,presTime_f,presTime_fDuration,timestamp,response,RT,stimOrder_actual,correct
1567,3,test,practise,beach,green,word,,a l,l,1200,3000,,,A = BLUE\nL = GREEN,1199,36,33.31,3002,90,33.36,423965,l,5321,,1
1567,4,test,practise,dog,blue,word,,a l,a,800,3000,,,A = BLUE\nL = GREEN,800,24,33.33,3002,90,33.36,428785,a,4041,,1
1567,5,test,practise,plage,blue,word,,a l,a,800,3000,,,A = BLUE\nL = GREEN,800,24,33.33,2193,65,33.35,431734,a,2187,,1
1567,6,test,practise,chien,green,word,,a l,l,800,3000,,,A = BLUE\nL = GREEN,801,24,33.38,1558,46,33.35,434069,l,1554,,1
1567,7,test,practise,maison,green,word,,a l,l,800,3000,,,A = BLUE\nL = GREEN,801,24,33.38,2143,63,33.35,436989,l,2139,,1
1567,8,test,practise,house,blue,word,,a l,a,800,3000,,,A = BLUE\nL = GREEN,800,24,33.33,3002,90,33.36,441091,a,3339,,1
1567,9,test,practise,chaise,blue,word,,a l,a,800,3000,,,A = BLUE\nL = GREEN,801,24,33.38,3001,90,33.34,445794,a,3940,,1
1567,10,test,practise,chair,green,word,,a l,l,800,3000,,,A = BLUE\nL = GREEN,800,24,33.33,2663,79,33.35,449215,l,2658,,1
1567,12,test,emotion_eng,nervous,green,word,nsg:1,a l,l,1200,1700,random,1,,1199,36,33.31,1701,51,33.35,475330,l,1987,word1,1
1567,102,test,emotion_fr,peur,green,word,nsg:1,a l,l,800,1700,random,1,,800,24,33.33,1528,45,33.36,477631,l,1523,word1,1
1567,47,test,neutral_eng,cabin,blue,word,nsg:1,a l,a,800,1700,random,1,,801,24,33.38,1144,33,33.33,479549,a,1139,word1,1
1567,100,test,emotion_fr,craintif,green,word,nsg:1,a l,l,800,1700,random,1,,801,24,33.38,1701,51,33.35,482334,l,2023,word1,1
1567,17,test,emotion_eng,jealousy,blue,word,nsg:1,a l,a,800,1700,random,1,,800,24,33.33,1277,37,33.38,484384,a,1272,word1,1
1567,48,test,neutral_eng,keel,green,word,nsg:1,a l,l,800,1700,random,1,,800,24,33.33,1701,51,33.35,487451,l,2304,word1,1
1567,104,test,emotion_fr,dégoûté,green,word,nsg:1,a l,l,800,1700,random,1,,801,24,33.38,1701,51,33.35,490021,l,1806,word1,1
1567,15,test,emotion_eng,greed,blue,word,nsg:1,a l,a,800,1700,random,1,,801,24,33.38,1701,51,33.35,493173,a,2390,word1,1
1567,132,test,neutral_fr,conducteur,green,word,nsg:1,a l,l,800,1700,random,1,,800,24,33.33,1127,33,33.36,495074,l,1122,word1,1
