,subjectGroup,browser,version,screenWidth,screenHeight,OS,OS_lang,GMT_timestamp,local_timestamp,trial_file_version,link,calibration,id,duration_s,,,,,,,,,,,
,3,Safari,26.2,1440,900,MacOS,en-GB,2026-04-12_12:16:21,2026-04-12_13:16:21,2026-04-11_14:55:47,https://www.testable.org/experiment/20526/508491/start,1,1789,167.919,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
id,rowNo,type,condition1,stim1,textColor,stimFormat,subjectGroup,keyboard,key,ITI,presTime,stimOptions,random,trialText,ITI_ms,ITI_f,ITI_fDuration,presTime_ms,presTime_f,presTime_fDuration,timestamp,response,RT,stimOrder_actual,correct
1789,3,test,practise,beach,green,word,,a l,l,1200,3000,,,A = BLUE\nL = GREEN,1200,72,16.67,1286,76,16.67,103392,l,1278,,1
1789,4,test,practise,dog,blue,word,,a l,a,800,3000,,,A = BLUE\nL = GREEN,800,48,16.67,957,57,16.67,105130,a,953,,1
1789,5,test,practise,plage,blue,word,,a l,a,800,3000,,,A = BLUE\nL = GREEN,800,48,16.67,914,54,16.67,106837,a,911,,1
1789,6,test,practise,chien,green,word,,a l,l,800,3000,,,A = BLUE\nL = GREEN,800,48,16.67,694,41,16.66,108317,l,693,,1
1789,7,test,practise,maison,green,word,,a l,l,800,3000,,,A = BLUE\nL = GREEN,800,47,17.02,779,43,17.84,109885,l,777,,1
1789,8,test,practise,house,blue,word,,a l,a,800,3000,,,A = BLUE\nL = GREEN,800,47,17.02,948,55,17.24,111621,a,947,,1
1789,9,test,practise,chaise,blue,word,,a l,a,800,3000,,,A = BLUE\nL = GREEN,802,49,16.37,617,35,17.14,113040,a,616,,1
1789,10,test,practise,chair,green,word,,a l,l,800,3000,,,A = BLUE\nL = GREEN,800,48,16.67,666,38,17.11,114489,l,665,,1
1789,32,test,emotion_fr,anxiété,green,word,nsg:3,a l,l,800,1700,random,1,,800,45,17.78,440,26,16.65,127146,l,438,word1,1
1789,66,test,neutral_fr,siège,green,word,nsg:3,a l,l,800,1700,random,1,,801,47,17.04,545,31,17.19,128485,l,542,word1,1
1789,34,test,emotion_fr,seul,green,word,nsg:3,a l,l,800,1700,random,1,,800,47,17.02,483,26,17.92,129756,l,482,word1,1
