,subjectGroup,browser,version,screenWidth,screenHeight,OS,OS_lang,GMT_timestamp,local_timestamp,trial_file_version,link,calibration,id,duration_s,,,,,,,,,,,
,2,Chrome,146.0.0.0,1536,864,Windows,en-GB,2026-04-12_21:29:33,2026-04-12_22:29:33,2026-04-11_14:55:47,https://www.testable.org/experiment/20526/508491/start,0.89,2654,253.354,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
id,rowNo,type,condition1,stim1,textColor,stimFormat,subjectGroup,keyboard,key,ITI,presTime,stimOptions,random,trialText,ITI_ms,ITI_f,ITI_fDuration,presTime_ms,presTime_f,presTime_fDuration,timestamp,response,RT,stimOrder_actual,correct
,3,test,practise,beach,green,word,,a l,l,1200,3000,,,A = BLUE\nL = GREEN,1194,72,16.58,2329,140,16.58,195449,l,2317,,1
2654,4,test,practise,dog,blue,word,,a l,a,800,3000,,,A = BLUE\nL = GREEN,796,48,16.58,577,34,16.59,196814,a,570,,1
2654,5,test,practise,plage,blue,word,,a l,a,800,3000,,,A = BLUE\nL = GREEN,796,48,16.58,504,30,16.59,198101,a,500,,1
2654,6,test,practise,chien,green,word,,a l,l,800,3000,,,A = BLUE\nL = GREEN,795,48,16.56,584,35,16.59,199474,l,580,,1
2654,7,test,practise,maison,green,word,,a l,l,800,3000,,,A = BLUE\nL = GREEN,796,48,16.58,588,35,16.57,200854,l,586,,1
2654,8,test,practise,house,blue,word,,a l,a,800,3000,,,A = BLUE\nL = GREEN,796,48,16.59,626,37,16.58,202269,a,623,,1
2654,9,test,practise,chaise,blue,word,,a l,a,800,3000,,,A = BLUE\nL = GREEN,796,48,16.58,664,39,16.58,203715,a,659,,1
2654,10,test,practise,chair,green,word,,a l,l,800,3000,,,A = BLUE\nL = GREEN,796,48,16.57,508,30,16.58,205002,l,505,,1
2654,23,test,emotion_eng,angry,blue,word,nsg:2,a l,a,800,1700,random,1,,796,48,16.58,649,39,16.59,215041,a,646,word1,1
2654,58,test,neutral_eng,port,green,word,nsg:2,a l,l,800,1700,random,1,,796,48,16.58,398,23,16.57,216233,l,392,word1,1
2654,26,test,emotion_eng,mad,green,word,nsg:2,a l,l,800,1700,random,1,,796,48,16.58,665,40,16.57,217676,l,658,word1,1
2654,25,test,emotion_eng,depressed,blue,word,nsg:2,a l,a,800,1700,random,1,,796,48,16.59,434,26,16.57,218905,a,427,word1,1
2654,125,test,neutral_fr,bôme,blue,word,nsg:2,a l,a,800,1700,random,1,,796,48,16.58,378,22,16.6,220074,a,373,word1,1
2654,52,test,neutral_eng,driver,green,word,nsg:2,a l,l,800,1700,random,1,,795,48,16.57,443,26,16.58,221301,l,441,word1,1
2654,92,test,emotion_fr,nerveux,green,word,nsg:2,a l,l,800,1700,random,1,,796,48,16.58,484,29,16.58,222569,l,477,word1,1
2654,24,test,emotion_eng,digusted,green,word,nsg:2,a l,l,800,1700,random,1,,796,48,16.58,375,22,16.58,223736,l,369,word1,1
2654,124,test,neutral_fr,barre,green,word,nsg:2,a l,l,800,1700,random,1,,796,48,16.58,393,23,16.58,224915,l,386,word1,1
2654,56,test,neutral_eng,paddle,green,word,nsg:2,a l,l,800,1700,random,1,,796,48,16.57,334,20,16.58,226033,l,331,word1,1
2654,98,test,emotion_fr,seul,green,word,nsg:2,a l,l,800,1700,random,1,,796,48,16.58,324,19,16.58,227150,l,317,word1,1
2654,55,test,neutral_eng,anchor,blue,word,nsg:2,a l,a,800,1700,random,1,,796,48,16.58,444,26,16.59,228380,a,439,word1,1
2654,53,test,neutral_eng,propeller,blue,word,nsg:2,a l,a,800,1700,random,1,,796,48,16.58,399,23,16.59,229563,a,392,word1,1
