,subjectGroup,browser,version,screenWidth,screenHeight,OS,OS_lang,GMT_timestamp,local_timestamp,trial_file_version,link,calibration,id,duration_s,,,,,,,,,,,
,4,Chrome,146.0.0.0,1512,982,MacOS,en-CA,2026-04-16_11:52:00,2026-04-16_12:52:00,2026-04-11_14:55:47,https://www.testable.org/experiment/20526/508491/start,0.99,1678,255.855,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
id,rowNo,type,condition1,stim1,textColor,stimFormat,subjectGroup,keyboard,key,ITI,presTime,stimOptions,random,trialText,ITI_ms,ITI_f,ITI_fDuration,presTime_ms,presTime_f,presTime_fDuration,timestamp,response,RT,stimOrder_actual,correct
1678,3,test,practise,beach,green,word,,a l,l,1200,3000,,,A = BLUE\nL = GREEN,1200,144,8.33,2836,340,8.33,203590,l,2830,,1
1678,4,test,practise,dog,blue,word,,a l,a,800,3000,,,A = BLUE\nL = GREEN,800,96,8.33,854,102,8.33,205242,a,850,,1
1678,5,test,practise,plage,blue,word,,a l,a,800,3000,,,A = BLUE\nL = GREEN,800,96,8.33,648,77,8.33,206686,a,644,,1
1678,6,test,practise,chien,green,word,,a l,l,800,3000,,,A = BLUE\nL = GREEN,800,96,8.33,824,98,8.33,208303,l,821,,1
1678,7,test,practise,maison,green,word,,a l,l,800,3000,,,A = BLUE\nL = GREEN,800,96,8.33,516,61,8.33,209612,l,513,,1
1678,8,test,practise,house,blue,word,,a l,a,800,3000,,,A = BLUE\nL = GREEN,800,96,8.33,435,52,8.33,210839,a,432,,1
1678,9,test,practise,chaise,blue,word,,a l,a,800,3000,,,A = BLUE\nL = GREEN,800,96,8.33,559,66,8.33,212196,a,555,,1
1678,10,test,practise,chair,green,word,,a l,l,800,3000,,,A = BLUE\nL = GREEN,800,96,8.33,522,62,8.33,213510,l,518,,1
1678,79,test,emotion_eng,greed,blue,word,nsg:4,a l,a,800,1700,random,1,,800,96,8.33,577,69,8.33,216398,a,573,word1,1
1678,40,test,emotion_fr,dégoûté,green,word,nsg:4,a l,l,800,1700,random,1,,800,96,8.33,501,60,8.33,217696,l,496,word1,1
1678,71,test,neutral_fr,ancre,blue,word,nsg:4,a l,a,800,1700,random,1,,800,96,8.33,384,45,8.33,218880,a,381,word1,1
1678,77,test,emotion_eng,grief,blue,word,nsg:4,a l,a,800,1700,random,1,,800,96,8.33,474,56,8.33,220144,a,470,word1,1
1678,73,test,neutral_fr,barrot,blue,word,nsg:4,a l,a,800,1700,random,1,,799,96,8.32,479,57,8.35,221415,a,477,word1,1
1678,76,test,emotion_eng,nervous,green,word,nsg:4,a l,l,800,1700,random,1,,800,96,8.33,438,52,8.33,222650,l,434,word1,1
1678,112,test,neutral_eng,keel,green,word,nsg:4,a l,l,800,1700,random,1,,800,96,8.33,464,55,8.33,223909,l,460,word1,1
1678,83,test,emotion_eng,scared,blue,word,nsg:4,a l,a,800,1700,random,1,,800,96,8.34,487,58,8.33,225191,a,486,word1,1
1678,78,test,emotion_eng,upset,green,word,nsg:4,a l,l,800,1700,random,1,,800,96,8.33,517,61,8.33,226504,l,513,word1,1
1678,108,test,neutral_eng,engine,green,word,nsg:4,a l,l,800,1700,random,1,,800,96,8.33,626,75,8.33,227921,l,622,word1,1
1678,37,test,emotion_fr,panique,blue,word,nsg:4,a l,a,800,1700,random,1,,800,96,8.33,439,52,8.33,229159,a,435,word1,1
1678,39,test,emotion_fr,énervé,blue,word,nsg:4,a l,a,800,1700,random,1,,800,96,8.33,412,49,8.33,230366,a,409,word1,1
