,subjectGroup,browser,version,screenWidth,screenHeight,OS,OS_lang,GMT_timestamp,local_timestamp,trial_file_version,link,calibration,id,duration_s,,,,,,,,,,,
,1,Microsoft Edge,147.0.0.0,1920,1080,Windows,en-US,2026-04-18_12:28:25,2026-04-18_13:28:25,2026-04-11_14:55:47,https://www.testable.org/experiment/20526/508491/start,0.88,2876,131.585,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
id,rowNo,type,condition1,stim1,textColor,stimFormat,subjectGroup,keyboard,key,ITI,presTime,stimOptions,random,trialText,ITI_ms,ITI_f,ITI_fDuration,presTime_ms,presTime_f,presTime_fDuration,timestamp,response,RT,stimOrder_actual,correct
2876,3,test,practise,beach,green,word,,a l,l,1200,3000,,,A = BLUE\nL = GREEN,1200,72,16.67,1795,107,16.67,70290,l,1790,,1
2876,4,test,practise,dog,blue,word,,a l,a,800,3000,,,A = BLUE\nL = GREEN,800,48,16.67,1146,68,16.67,72224,a,1144,,1
2876,5,test,practise,plage,blue,word,,a l,a,800,3000,,,A = BLUE\nL = GREEN,800,48,16.67,1660,99,16.67,74672,a,1659,,1
2876,6,test,practise,chien,green,word,,a l,l,800,3000,,,A = BLUE\nL = GREEN,800,48,16.66,1115,66,16.67,76576,l,1114,,1
2876,7,test,practise,maison,green,word,,a l,l,800,3000,,,A = BLUE\nL = GREEN,800,48,16.67,1183,70,16.67,78545,l,1183,,1
2876,8,test,practise,house,blue,word,,a l,a,800,3000,,,A = BLUE\nL = GREEN,800,48,16.66,753,45,16.67,80082,a,751,,1
2876,9,test,practise,chaise,blue,word,,a l,a,800,3000,,,A = BLUE\nL = GREEN,800,48,16.66,1138,68,16.67,82016,a,1137,,1
2876,10,test,practise,chair,green,word,,a l,l,800,3000,,,A = BLUE\nL = GREEN,800,48,16.66,485,29,16.67,83297,l,483,,1
2876,100,test,emotion_fr,craintif,green,word,nsg:1,a l,l,800,1700,random,1,,800,48,16.66,1685,101,16.67,90947,l,1684,word1,1
2876,104,test,emotion_fr,dégoûté,green,word,nsg:1,a l,l,800,1700,random,1,,800,48,16.66,704,42,16.67,92450,l,696,word1,1
2876,107,test,emotion_fr,tourmenté,blue,word,nsg:1,a l,a,800,1700,random,1,,800,48,16.66,515,30,16.66,93760,a,514,word1,1
2876,139,test,neutral_fr,corde,blue,word,nsg:1,a l,a,800,1700,random,1,,800,48,16.67,463,27,16.67,95008,a,462,word1,1
2876,137,test,neutral_fr,barrot,blue,word,nsg:1,a l,a,800,1700,random,1,,800,48,16.67,509,30,16.67,96305,a,508,word1,1
2876,49,test,neutral_eng,motor,blue,word,nsg:1,a l,a,800,1700,random,1,,800,48,16.67,585,35,16.67,97680,a,582,word1,1
