,subjectGroup,browser,version,screenWidth,screenHeight,OS,OS_lang,GMT_timestamp,local_timestamp,trial_file_version,link,calibration,id,duration_s,,,,,,,,,,,
,1,Chrome,147.0.0.0,1710,1107,MacOS,en-GB,2026-04-11_18:11:04,2026-04-11_19:11:04,2026-04-11_14:55:47,https://www.testable.org/experiment/20526/508491/start,1,2432,223.835,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
id,rowNo,type,condition1,stim1,textColor,stimFormat,subjectGroup,keyboard,key,ITI,presTime,stimOptions,random,trialText,ITI_ms,ITI_f,ITI_fDuration,presTime_ms,presTime_f,presTime_fDuration,timestamp,response,RT,stimOrder_actual,correct
2432,3,test,practise,beach,green,word,,a l,l,1200,3000,,,A = BLUE\nL = GREEN,1200,72,16.67,3000,180,16.67,143744,l,3936,,1
2432,4,test,practise,dog,blue,word,,a l,a,800,3000,,,A = BLUE\nL = GREEN,800,48,16.66,3000,180,16.67,147665,a,3126,,1
2432,5,test,practise,plage,blue,word,,a l,a,800,3000,,,A = BLUE\nL = GREEN,800,48,16.66,3000,180,16.67,152324,a,3868,,1
2432,6,test,practise,chien,green,word,,a l,l,800,3000,,,A = BLUE\nL = GREEN,800,48,16.67,1881,112,16.67,155001,l,1878,,1
2432,7,test,practise,maison,green,word,,a l,l,800,3000,,,A = BLUE\nL = GREEN,800,48,16.67,1712,102,16.67,157499,l,1709,,1
2432,8,test,practise,house,blue,word,,a l,a,800,3000,,,A = BLUE\nL = GREEN,800,48,16.67,711,42,16.67,158998,a,708,,1
2432,9,test,practise,chaise,blue,word,,a l,a,800,3000,,,A = BLUE\nL = GREEN,800,48,16.66,1529,91,16.67,161315,l,1526,,0
2432,10,test,practise,chair,green,word,,a l,l,800,3000,,,A = BLUE\nL = GREEN,800,48,16.67,1328,79,16.67,163431,l,1325,,1
2432,15,test,emotion_eng,greed,blue,word,nsg:1,a l,a,800,1700,random,1,,800,48,16.67,1700,102,16.67,179340,a,2066,word1,1
2432,44,test,neutral_eng,engine,green,word,nsg:1,a l,l,800,1700,random,1,,800,48,16.67,603,36,16.66,180740,l,600,word1,1
2432,47,test,neutral_eng,cabin,blue,word,nsg:1,a l,a,800,1700,random,1,,800,48,16.67,746,44,16.67,182283,a,744,word1,1
2432,106,test,emotion_fr,furieux,green,word,nsg:1,a l,l,800,1700,random,1,,800,48,16.67,530,31,16.66,183600,l,527,word1,1
